iter	Passed	Remaining
0	1	115
1	2	117
2	3	106
3	4	99
4	5	96
5	6	95
6	7	93
7	7	91
8	8	90
9	10	90
10	11	90
11	12	90
12	13	90
13	14	88
14	15	87
15	16	85
16	17	85
17	18	83
18	19	82
19	20	80
20	21	79
21	22	78
22	22	76
23	23	75
24	24	74
25	26	74
26	27	73
27	28	72
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	41	61
40	42	60
41	42	59
42	43	58
43	44	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	50	50
50	52	49
51	52	48
52	54	48
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	89	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	103	0
