iter	Passed	Remaining
0	143	143812
1	145	72455
2	146	48645
3	147	36734
4	148	29543
5	149	24738
6	150	21355
7	151	18806
8	152	16816
9	153	15213
10	154	13898
11	155	12803
12	156	11878
13	157	11085
14	158	10390
15	159	9781
16	159	9244
17	160	8768
18	161	8339
19	162	7954
20	163	7608
21	164	7298
22	165	7022
23	166	6757
24	166	6512
25	167	6284
26	168	6074
27	169	5879
28	170	5697
29	170	5528
30	171	5370
31	172	5220
32	173	5081
33	174	4950
34	175	4826
35	175	4709
36	176	4600
37	177	4495
38	178	4401
39	179	4310
40	180	4220
41	181	4136
42	182	4057
43	183	3978
44	183	3902
45	184	3832
46	185	3763
47	186	3698
48	187	3635
49	188	3574
50	188	3515
51	189	3458
52	190	3405
53	191	3353
54	192	3307
55	193	3261
56	194	3214
57	195	3169
58	195	3125
59	196	3082
60	197	3041
61	198	3001
62	199	2963
63	200	2925
64	201	2894
65	202	2859
66	202	2825
67	203	2793
68	204	2760
69	205	2728
70	206	2697
71	207	2669
72	208	2642
73	208	2614
74	209	2586
75	210	2559
76	211	2533
77	212	2507
78	212	2481
79	213	2457
80	214	2433
81	215	2410
82	215	2383
83	216	2360
84	217	2339
85	218	2320
86	219	2299
87	219	2279
88	220	2259
89	221	2241
90	222	2224
91	223	2206
92	224	2188
93	225	2170
94	225	2152
95	226	2135
96	227	2118
97	228	2101
98	229	2085
99	229	2069
100	230	2054
101	231	2039
102	232	2024
103	233	2010
104	234	1995
105	234	1981
106	235	1967
107	236	1955
108	237	1943
109	238	1930
110	239	1917
111	240	1904
112	241	1891
113	241	1879
114	242	1867
115	243	1855
116	244	1842
117	244	1830
118	245	1818
119	246	1808
120	247	1798
121	248	1786
122	249	1776
123	249	1765
124	250	1756
125	251	1747
126	252	1736
127	253	1726
128	254	1716
129	255	1706
130	255	1696
131	256	1687
132	257	1677
133	258	1668
134	258	1659
135	259	1650
136	260	1641
137	261	1632
138	262	1624
139	262	1615
140	263	1607
141	264	1596
142	265	1588
143	266	1582
144	267	1574
145	267	1566
146	268	1559
147	269	1551
148	270	1543
149	271	1536
150	271	1528
151	272	1521
152	273	1514
153	274	1508
154	275	1501
155	276	1495
156	277	1488
157	277	1481
158	278	1474
159	279	1467
160	280	1461
161	281	1455
162	282	1449
163	283	1444
164	284	1438
165	285	1433
166	286	1427
167	286	1421
168	287	1414
169	288	1408
170	289	1402
171	290	1396
172	290	1390
173	291	1384
174	292	1378
175	293	1373
176	294	1367
177	295	1362
178	296	1357
179	296	1352
180	297	1347
181	298	1341
182	299	1336
183	300	1330
184	300	1325
185	301	1319
186	302	1314
187	303	1309
188	303	1304
189	304	1299
190	305	1293
191	306	1288
192	307	1283
193	307	1278
194	308	1273
195	309	1269
196	310	1265
197	311	1261
198	312	1256
199	312	1251
200	313	1246
201	314	1242
202	315	1237
203	316	1233
204	316	1228
205	317	1224
206	318	1219
207	319	1215
208	320	1211
209	320	1207
210	321	1202
211	322	1198
212	323	1195
213	324	1191
214	325	1188
215	326	1184
216	327	1180
217	327	1176
218	328	1172
219	329	1168
220	330	1164
221	331	1160
222	331	1156
223	332	1152
224	333	1148
225	334	1144
226	335	1140
227	335	1137
228	336	1133
229	337	1130
230	338	1126
231	339	1123
232	340	1120
233	341	1117
234	342	1113
235	342	1109
236	343	1106
237	344	1102
238	345	1099
239	346	1095
240	346	1092
241	347	1088
242	348	1085
243	349	1081
244	349	1078
245	350	1075
246	351	1072
247	352	1068
248	353	1065
249	354	1062
250	355	1059
251	355	1056
252	356	1052
253	357	1049
254	358	1046
255	358	1043
256	359	1040
257	360	1037
258	361	1034
259	362	1030
260	363	1027
261	363	1024
262	364	1021
263	365	1019
264	366	1015
265	367	1012
266	367	1010
267	368	1007
268	370	1005
269	370	1002
270	371	1000
271	372	997
272	373	995
273	374	992
274	375	989
275	376	986
276	376	983
277	377	981
278	378	978
279	379	975
280	380	972
281	381	970
282	381	967
283	382	964
284	383	962
285	384	960
286	385	957
287	386	955
288	387	953
289	388	951
290	389	949
291	390	947
292	391	945
293	392	943
294	393	941
295	395	939
296	396	937
297	397	935
298	398	934
299	399	931
300	400	929
301	401	927
302	401	924
303	402	922
304	403	919
305	404	917
306	405	915
307	406	912
308	407	910
309	407	907
310	408	905
311	409	903
312	410	900
313	411	898
314	412	896
315	413	895
316	414	892
317	415	890
318	416	888
319	417	886
320	417	884
321	418	881
322	419	879
323	420	877
324	421	875
325	422	873
326	423	871
327	424	868
328	424	866
329	425	864
330	426	862
331	427	860
332	428	858
333	429	856
334	430	855
335	431	853
336	432	851
337	433	849
338	434	847
339	436	847
340	437	845
341	438	843
342	439	841
343	440	840
344	442	840
345	443	839
346	445	837
347	445	835
348	446	833
349	447	831
350	448	829
351	449	827
352	450	826
353	451	824
354	452	821
355	453	819
356	453	817
357	454	815
358	455	813
359	456	812
360	457	810
361	458	808
362	459	806
363	460	805
364	461	803
365	462	801
366	463	799
367	464	798
368	466	796
369	466	795
370	467	793
371	468	791
372	469	789
373	471	788
374	471	786
375	472	784
376	473	782
377	474	780
378	475	778
379	476	777
380	477	775
381	478	773
382	479	772
383	480	770
384	481	768
385	482	766
386	483	765
387	484	764
388	485	762
389	486	761
390	487	759
391	488	757
392	489	755
393	490	754
394	491	752
395	492	750
396	493	748
397	494	747
398	495	746
399	496	744
400	497	743
401	498	741
402	499	740
403	500	738
404	501	737
405	502	735
406	503	733
407	504	732
408	505	730
409	506	728
410	507	727
411	508	725
412	509	723
413	509	721
414	510	719
415	511	718
416	512	716
417	513	714
418	514	713
419	515	711
420	516	709
421	516	708
422	517	706
423	518	704
424	519	702
425	520	700
426	520	698
427	521	696
428	522	695
429	523	693
430	523	691
431	524	689
432	525	688
433	526	686
434	527	684
435	527	682
436	529	681
437	529	680
438	530	678
439	531	676
440	532	674
441	533	673
442	534	671
443	534	669
444	535	668
445	536	666
446	537	664
447	538	663
448	538	661
449	539	659
450	540	658
451	541	656
452	542	654
453	543	653
454	544	651
455	545	650
456	546	649
457	547	647
458	548	645
459	548	644
460	549	642
461	550	640
462	551	639
463	552	637
464	553	636
465	553	634
466	554	633
467	555	631
468	556	629
469	557	628
470	558	626
471	559	625
472	560	623
473	560	622
474	561	620
475	562	619
476	563	617
477	564	616
478	565	614
479	565	613
480	566	611
481	567	610
482	568	608
483	569	606
484	570	605
485	570	603
486	571	602
487	572	600
488	574	600
489	575	598
490	576	597
491	576	595
492	577	594
493	578	592
494	579	591
495	580	589
496	581	588
497	582	586
498	582	585
499	583	583
500	584	582
501	585	580
502	586	579
503	587	577
504	588	576
505	588	574
506	589	573
507	590	572
508	591	570
509	592	569
510	593	567
511	593	566
512	594	564
513	595	563
514	596	561
515	597	560
516	597	558
517	598	557
518	599	555
519	600	554
520	601	552
521	602	551
522	603	549
523	603	548
524	604	547
525	605	545
526	606	544
527	607	542
528	607	541
529	608	539
530	609	538
531	610	536
532	611	535
533	611	533
534	612	532
535	613	531
536	614	529
537	615	528
538	615	526
539	616	525
540	617	524
541	618	522
542	619	521
543	620	519
544	621	518
545	621	517
546	622	515
547	623	514
548	624	512
549	625	511
550	625	510
551	626	508
552	627	507
553	628	505
554	629	504
555	629	502
556	630	501
557	631	500
558	632	499
559	633	497
560	634	496
561	635	494
562	636	493
563	636	492
564	637	491
565	638	489
566	639	488
567	640	486
568	640	485
569	641	484
570	642	482
571	643	481
572	644	480
573	645	478
574	646	477
575	647	476
576	648	475
577	648	473
578	649	472
579	650	471
580	651	469
581	652	468
582	653	467
583	654	466
584	655	464
585	655	463
586	656	462
587	657	460
588	658	459
589	659	458
590	659	456
591	660	455
592	662	454
593	662	453
594	663	451
595	664	450
596	665	449
597	666	448
598	667	447
599	668	445
600	669	444
601	670	443
602	671	441
603	672	440
604	672	439
605	673	438
606	674	436
607	675	435
608	676	434
609	677	433
610	678	431
611	679	430
612	679	429
613	680	427
614	681	426
615	682	425
616	683	424
617	684	422
618	684	421
619	685	420
620	686	418
621	687	417
622	688	416
623	688	415
624	689	413
625	690	412
626	691	411
627	692	410
628	693	409
629	694	407
630	694	406
631	695	405
632	696	403
633	697	402
634	698	401
635	698	400
636	699	398
637	700	397
638	701	396
